comment_Kyle,comment_checker,initials_extractor,title,doi,url,journal,study_id,exp_id,exp2_id,assay_id,assay2_id,species_english,species_latin,source,sex,pesticide,pesticide_grade,cas_id,cas_id_comment,pesticide_chemical_class,dosage,dosage_unit,duration,duration_unit,control_solvent,temperature,temperature_unit,behaviour_measured,behaviour_measured_standardised,behaviour_assay,behavioural_assay_standardised,effect_direction,data_source,data_file,control_effective_n,control_shoal_n,control_fish_n,control_n,control_mean,control_sd,control_shoal_sd,control_fish_sd,control_se,statistics_comment_control,sample_size_comment_control,treatment_effective_n,treatment_shoal_n,treatment_fish_n,treatment_n,treatment_mean,treatment_sd,treatment_shoal_sd,treatment_fish_sd,treatment_se,statistics_comment_treatment,sample_size_comment_treatment,contact_author,contacted_date,contact_response,contact_comments
need to check for the non-independence comparing to the previous behaviours - single sex should not have same ID (but could be same individuals from previous assay),,KM,The kisspeptin-GnIH signaling pathway in the role of zebrafish courtship and aggressive behavior induced by azoxystrobin,10.1016/j.envpol.2023.121461,https://www.sciencedirect.com/science/article/pii/S0269749123004633?via%3Dihub,Environmental Pollution,guo_2023,guo_2023_exp_001,guo_2023_exp2_013,guo_2023_exp_001_assay_007,guo_2023_exp2_013_assay2_001,zebrafish ,Danio rerio,commercial supplier,female,azoxystrobin,analytical,131860-33-8,in paper,B-methoxyacrylates,0.2,ug/L,42,days,DMSO,27,celsius,aggression,aggression,distance in region of contact,distance travelled in aggressive zone,NA,fig4a,guo_2023_fig4a,NA,NA,NA,18,791.2936092,22.30471055,NA,NA,5.257270694,study reports mean and se ,"states N=3, 18 per treatment - I assume this is 18 for each concentration",NA,NA,NA,18,822.1038557,43.8501118,NA,NA,10.33557047,study reports mean and se,"states N=3, 18 per treatment - I assume this is 18 for each concentration",,,,
,,KM,The kisspeptin-GnIH signaling pathway in the role of zebrafish courtship and aggressive behavior induced by azoxystrobin,10.1016/j.envpol.2023.121461,https://www.sciencedirect.com/science/article/pii/S0269749123004633?via%3Dihub,Environmental Pollution,guo_2023,guo_2023_exp_002,guo_2023_exp2_014,guo_2023_exp_002_assay_007,guo_2023_exp2_014_assay2_001,zebrafish ,Danio rerio,commercial supplier,female,azoxystrobin,analytical,131860-33-8,in paper,B-methoxyacrylates,20,ug/L,42,days,DMSO,27,celsius,aggression,aggression,distance in region of contact,distance travelled in aggressive zone,NA,fig4a,guo_2023_fig4a,NA,NA,NA,18,791.2936092,22.30471055,NA,NA,5.257270694,study reports mean and se ,"states N=3, 18 per treatment - I assume this is 18 for each concentration",NA,NA,NA,18,835.5618474,65.186703,NA,NA,15.36465324,study reports mean and se,"states N=3, 18 per treatment - I assume this is 18 for each concentration",,,,
,,KM,The kisspeptin-GnIH signaling pathway in the role of zebrafish courtship and aggressive behavior induced by azoxystrobin,10.1016/j.envpol.2023.121461,https://www.sciencedirect.com/science/article/pii/S0269749123004633?via%3Dihub,Environmental Pollution,guo_2023,guo_2023_exp_003,guo_2023_exp2_015,guo_2023_exp_003_assay_007,guo_2023_exp2_015_assay2_001,zebrafish ,Danio rerio,commercial supplier,female,azoxystrobin,analytical,131860-33-8,in paper,B-methoxyacrylates,200,ug/L,42,days,DMSO,27,celsius,aggression,aggression,distance in region of contact,distance travelled in aggressive zone,NA,fig4a,guo_2023_fig4a,NA,NA,NA,18,791.2936092,22.30471055,NA,NA,5.257270694,study reports mean and se ,"states N=3, 18 per treatment - I assume this is 18 for each concentration",NA,NA,NA,18,883.1714357,53.8160463,NA,NA,12.68456376,study reports mean and se,"states N=3, 18 per treatment - I assume this is 18 for each concentration",,,,
,,KM,The kisspeptin-GnIH signaling pathway in the role of zebrafish courtship and aggressive behavior induced by azoxystrobin,10.1016/j.envpol.2023.121461,https://www.sciencedirect.com/science/article/pii/S0269749123004633?via%3Dihub,Environmental Pollution,guo_2023,guo_2023_exp_001,guo_2023_exp2_013,guo_2023_exp_001_assay_008,guo_2023_exp2_013_assay2_002,zebrafish ,Danio rerio,commercial supplier,male ,azoxystrobin,analytical,131860-33-8,in paper,B-methoxyacrylates,0.2,ug/L,42,days,DMSO,27,celsius,aggression,aggression,distance in region of contact,distance travelled in aggressive zone,NA,fig4c,guo_2023_fig4c,NA,NA,NA,18,718.7022832,88.92279812,NA,NA,20.95930452,study reports mean and se ,"states N=3, 18 per treatment - I assume this is 18 for each concentration",NA,NA,NA,18,811.1211318,259.4663803,NA,NA,61.15681234,study reports mean and se,"states N=3, 18 per treatment - I assume this is 18 for each concentration",,,,
,,KM,The kisspeptin-GnIH signaling pathway in the role of zebrafish courtship and aggressive behavior induced by azoxystrobin,10.1016/j.envpol.2023.121461,https://www.sciencedirect.com/science/article/pii/S0269749123004633?via%3Dihub,Environmental Pollution,guo_2023,guo_2023_exp_002,guo_2023_exp2_014,guo_2023_exp_002_assay_008,guo_2023_exp2_014_assay2_002,zebrafish ,Danio rerio,commercial supplier,male ,azoxystrobin,analytical,131860-33-8,in paper,B-methoxyacrylates,20,ug/L,42,days,DMSO,27,celsius,aggression,aggression,distance in region of contact,distance travelled in aggressive zone,NA,fig4c,guo_2023_fig4c,NA,NA,NA,18,718.7022832,88.92279812,NA,NA,20.95930452,study reports mean and se ,"states N=3, 18 per treatment - I assume this is 18 for each concentration",NA,NA,NA,18,970.9377468,367.0593119,NA,NA,86.51670951,study reports mean and se,"states N=3, 18 per treatment - I assume this is 18 for each concentration",,,,
,,KM,The kisspeptin-GnIH signaling pathway in the role of zebrafish courtship and aggressive behavior induced by azoxystrobin,10.1016/j.envpol.2023.121461,https://www.sciencedirect.com/science/article/pii/S0269749123004633?via%3Dihub,Environmental Pollution,guo_2023,guo_2023_exp_003,guo_2023_exp2_015,guo_2023_exp_003_assay_008,guo_2023_exp2_015_assay2_002,zebrafish ,Danio rerio,commercial supplier,male ,azoxystrobin,analytical,131860-33-8,in paper,B-methoxyacrylates,200,ug/L,42,days,DMSO,27,celsius,aggression,aggression,distance in region of contact,distance travelled in aggressive zone,NA,fig4c,guo_2023_fig4c,NA,NA,NA,18,718.7022832,88.92279812,NA,NA,20.95930452,study reports mean and se ,"states N=3, 18 per treatment - I assume this is 18 for each concentration",NA,NA,NA,18,1072.114285,379.6290892,NA,NA,89.47943445,study reports mean and se,"states N=3, 18 per treatment - I assume this is 18 for each concentration",,,,
,,KM,The kisspeptin-GnIH signaling pathway in the role of zebrafish courtship and aggressive behavior induced by azoxystrobin,10.1016/j.envpol.2023.121461,https://www.sciencedirect.com/science/article/pii/S0269749123004633?via%3Dihub,Environmental Pollution,guo_2023,guo_2023_exp_001,guo_2023_exp2_016,guo_2023_exp_001_assay_009,guo_2023_exp2_016_assay2_001,zebrafish ,Danio rerio,commercial supplier,female,azoxystrobin,analytical,131860-33-8,in paper,B-methoxyacrylates,0.2,ug/L,42,days,DMSO,27,celsius,aggression,aggression,frequency in region of contact,frequency of entries into aggression zone,NA,fig4b,guo_2023_fig4b,NA,NA,NA,18,295.2174154,51.76940622,NA,NA,12.20216606,study reports mean and se ,"states N=3, 18 per treatment - I assume this is 18 for each concentration",NA,NA,NA,18,301.5914375,52.13699964,NA,NA,12.28880866,study reports mean and se,"states N=3, 18 per treatment - I assume this is 18 for each concentration",,,,
,,KM,The kisspeptin-GnIH signaling pathway in the role of zebrafish courtship and aggressive behavior induced by azoxystrobin,10.1016/j.envpol.2023.121461,https://www.sciencedirect.com/science/article/pii/S0269749123004633?via%3Dihub,Environmental Pollution,guo_2023,guo_2023_exp_002,guo_2023_exp2_017,guo_2023_exp_002_assay_009,guo_2023_exp2_017_assay2_001,zebrafish ,Danio rerio,commercial supplier,female,azoxystrobin,analytical,131860-33-8,in paper,B-methoxyacrylates,20,ug/L,42,days,DMSO,27,celsius,aggression,aggression,frequency in region of contact,frequency of entries into aggression zone,NA,fig4b,guo_2023_fig4b,NA,NA,NA,18,295.2174154,51.76940622,NA,NA,12.20216606,study reports mean and se ,"states N=3, 18 per treatment - I assume this is 18 for each concentration",NA,NA,NA,18,330.3398204,32.9302436,NA,NA,7.761732852,study reports mean and se,"states N=3, 18 per treatment - I assume this is 18 for each concentration",,,,
,,KM,The kisspeptin-GnIH signaling pathway in the role of zebrafish courtship and aggressive behavior induced by azoxystrobin,10.1016/j.envpol.2023.121461,https://www.sciencedirect.com/science/article/pii/S0269749123004633?via%3Dihub,Environmental Pollution,guo_2023,guo_2023_exp_003,guo_2023_exp2_018,guo_2023_exp_003_assay_009,guo_2023_exp2_018_assay2_001,zebrafish ,Danio rerio,commercial supplier,female,azoxystrobin,analytical,131860-33-8,in paper,B-methoxyacrylates,200,ug/L,42,days,DMSO,27,celsius,aggression,aggression,frequency in region of contact,frequency of entries into aggression zone,NA,fig4b,guo_2023_fig4b,NA,NA,NA,18,295.2174154,51.76940622,NA,NA,12.20216606,study reports mean and se ,"states N=3, 18 per treatment - I assume this is 18 for each concentration",NA,NA,NA,18,373.8358539,35.72800771,NA,NA,8.421172178,study reports mean and se,"states N=3, 18 per treatment - I assume this is 18 for each concentration",,,,
,,KM,The kisspeptin-GnIH signaling pathway in the role of zebrafish courtship and aggressive behavior induced by azoxystrobin,10.1016/j.envpol.2023.121461,https://www.sciencedirect.com/science/article/pii/S0269749123004633?via%3Dihub,Environmental Pollution,guo_2023,guo_2023_exp_001,guo_2023_exp2_016,guo_2023_exp_001_assay_010,guo_2023_exp2_016_assay2_002,zebrafish ,Danio rerio,commercial supplier,male ,azoxystrobin,analytical,131860-33-8,in paper,B-methoxyacrylates,0.2,ug/L,42,days,DMSO,27,celsius,aggression,aggression,frequency in region of contact,frequency of entries into aggression zone,NA,fig4d,guo_2023_fig4d,NA,NA,NA,18,401.5002235,46.00383469,NA,NA,10.84320782,study reports mean and se ,"states N=3, 18 per treatment - I assume this is 18 for each concentration",NA,NA,NA,18,404.2687021,27.40653982,NA,NA,6.459783385,study reports mean and se,"states N=3, 18 per treatment - I assume this is 18 for each concentration",,,,
,,KM,The kisspeptin-GnIH signaling pathway in the role of zebrafish courtship and aggressive behavior induced by azoxystrobin,10.1016/j.envpol.2023.121461,https://www.sciencedirect.com/science/article/pii/S0269749123004633?via%3Dihub,Environmental Pollution,guo_2023,guo_2023_exp_002,guo_2023_exp2_017,guo_2023_exp_002_assay_010,guo_2023_exp2_017_assay2_002,zebrafish ,Danio rerio,commercial supplier,male ,azoxystrobin,analytical,131860-33-8,in paper,B-methoxyacrylates,20,ug/L,42,days,DMSO,27,celsius,aggression,aggression,frequency in region of contact,frequency of entries into aggression zone,NA,fig4d,guo_2023_fig4d,NA,NA,NA,18,401.5002235,46.00383469,NA,NA,10.84320782,study reports mean and se ,"states N=3, 18 per treatment - I assume this is 18 for each concentration",NA,NA,NA,18,454.2716458,116.7980733,NA,NA,27.52956989,study reports mean and se,"states N=3, 18 per treatment - I assume this is 18 for each concentration",,,,
,,KM,The kisspeptin-GnIH signaling pathway in the role of zebrafish courtship and aggressive behavior induced by azoxystrobin,10.1016/j.envpol.2023.121461,https://www.sciencedirect.com/science/article/pii/S0269749123004633?via%3Dihub,Environmental Pollution,guo_2023,guo_2023_exp_003,guo_2023_exp2_018,guo_2023_exp_003_assay_010,guo_2023_exp2_018_assay2_002,zebrafish ,Danio rerio,commercial supplier,male ,azoxystrobin,analytical,131860-33-8,in paper,B-methoxyacrylates,200,ug/L,42,days,DMSO,27,celsius,aggression,aggression,frequency in region of contact,frequency of entries into aggression zone,NA,fig4d,guo_2023_fig4d,NA,NA,NA,18,401.5002235,46.00383469,NA,NA,10.84320782,study reports mean and se ,"states N=3, 18 per treatment - I assume this is 18 for each concentration",NA,NA,NA,18,506.6776,68.12483,NA,NA,15.87722473,study reports mean and se,"states N=3, 18 per treatment - I assume this is 18 for each concentration",,,,
,,KM,Pyriproxyfen Exposure Impairs Cognitive Parameters and Alters Cortisol Levels in Zebrafish,10.3389/fnbeh.2020.00103,https://www.frontiersin.org/articles/10.3389/fnbeh.2020.00103/full,Frontiers in Behavioral Neuroscience,gusso_2020,gusso_2020_exp_001,gusso_2020_exp2_001,gusso_2020_exp_001_assay_001,gusso_2020_exp2_001_assay2_001,zebrafish ,Danio rerio,not reported ,mixed,pyriproxyfen,not reported,95737- 68-1,in paper,phenoxy,0.125,mg/L,96,hours,none,28,celsius,aggression,aggression,total aggressive behaviours towards mirror,frequency of aggressive behaviour,NA,fig3a,gusso_2020_fig3a,NA,NA,NA,14,111.4008331,61.69420408,NA,NA,16.4884696,study reports mean and se,sample size provided as a range so selected the lowest value,NA,NA,NA,14,97.36459677,67.16745658,NA,NA,17.95125786,study reports mean and se,sample size provided as a range so selected the lowest value,,,,
,,KM,Pyriproxyfen Exposure Impairs Cognitive Parameters and Alters Cortisol Levels in Zebrafish,10.3389/fnbeh.2020.00103,https://www.frontiersin.org/articles/10.3389/fnbeh.2020.00103/full,Frontiers in Behavioral Neuroscience,gusso_2020,gusso_2020_exp_002,gusso_2020_exp2_002,gusso_2020_exp_002_assay_001,gusso_2020_exp2_002_assay2_001,zebrafish ,Danio rerio,not reported ,mixed,pyriproxyfen,not reported,95737- 68-1,in paper,phenoxy,0.675,mg/L,96,hours,none,28,celsius,aggression,aggression,total aggressive behaviours towards mirror,frequency of aggressive behaviour,NA,fig3a,gusso_2020_fig3a,NA,NA,NA,14,111.4008331,61.69420408,NA,NA,16.4884696,study reports mean and se,sample size provided as a range so selected the lowest value,NA,NA,NA,14,115.4811997,55.94836753,NA,NA,14.95283019,study reports mean and se,sample size provided as a range so selected the lowest value,,,,
,,KM,Pyriproxyfen Exposure Impairs Cognitive Parameters and Alters Cortisol Levels in Zebrafish,10.3389/fnbeh.2020.00103,https://www.frontiersin.org/articles/10.3389/fnbeh.2020.00103/full,Frontiers in Behavioral Neuroscience,gusso_2020,gusso_2020_exp_003,gusso_2020_exp2_003,gusso_2020_exp_003_assay_001,gusso_2020_exp2_003_assay2_001,zebrafish ,Danio rerio,not reported ,mixed,pyriproxyfen,not reported,95737- 68-1,in paper,phenoxy,1.75,mg/L,96,hours,none,28,celsius,aggression,aggression,total aggressive behaviours towards mirror,frequency of aggressive behaviour,NA,fig3a,gusso_2020_fig3a,NA,NA,NA,14,111.4008331,61.69420408,NA,NA,16.4884696,study reports mean and se,sample size provided as a range so selected the lowest value,NA,NA,NA,14,89.65087636,68.68725976,NA,NA,18.35744235,study reports mean and se,sample size provided as a range so selected the lowest value,,,,
,,KM,Pyriproxyfen Exposure Impairs Cognitive Parameters and Alters Cortisol Levels in Zebrafish,10.3389/fnbeh.2020.00103,https://www.frontiersin.org/articles/10.3389/fnbeh.2020.00103/full,Frontiers in Behavioral Neuroscience,gusso_2020,gusso_2020_exp_001,gusso_2020_exp2_001,gusso_2020_exp_001_assay_002,gusso_2020_exp2_001_assay2_002,zebrafish ,Danio rerio,not reported ,mixed,pyriproxyfen,not reported,95737- 68-1,in paper,phenoxy,0.125,mg/L,96,hours,DMSO,28,celsius,aggression,aggression,total aggressive behaviours towards mirror,frequency of aggressive behaviour,NA,fig3a,gusso_2020_fig3a,NA,NA,NA,14,85.26107396,53.83044825,NA,NA,14.38679245,study reports mean and se,sample size provided as a range so selected the lowest value,NA,NA,NA,14,97.36459677,67.16745658,NA,NA,17.95125786,study reports mean and se,sample size provided as a range so selected the lowest value,,,,
,,KM,Pyriproxyfen Exposure Impairs Cognitive Parameters and Alters Cortisol Levels in Zebrafish,10.3389/fnbeh.2020.00103,https://www.frontiersin.org/articles/10.3389/fnbeh.2020.00103/full,Frontiers in Behavioral Neuroscience,gusso_2020,gusso_2020_exp_002,gusso_2020_exp2_002,gusso_2020_exp_002_assay_002,gusso_2020_exp2_002_assay2_002,zebrafish ,Danio rerio,not reported ,mixed,pyriproxyfen,not reported,95737- 68-1,in paper,phenoxy,0.675,mg/L,96,hours,DMSO,28,celsius,aggression,aggression,total aggressive behaviours towards mirror,frequency of aggressive behaviour,NA,fig3a,gusso_2020_fig3a,NA,NA,NA,14,85.26107396,53.83044825,NA,NA,14.38679245,study reports mean and se,sample size provided as a range so selected the lowest value,NA,NA,NA,14,115.4811997,55.94836753,NA,NA,14.95283019,study reports mean and se,sample size provided as a range so selected the lowest value,,,,
,,KM,Pyriproxyfen Exposure Impairs Cognitive Parameters and Alters Cortisol Levels in Zebrafish,10.3389/fnbeh.2020.00103,https://www.frontiersin.org/articles/10.3389/fnbeh.2020.00103/full,Frontiers in Behavioral Neuroscience,gusso_2020,gusso_2020_exp_003,gusso_2020_exp2_003,gusso_2020_exp_003_assay_002,gusso_2020_exp2_003_assay2_002,zebrafish ,Danio rerio,not reported ,mixed,pyriproxyfen,not reported,95737- 68-1,in paper,phenoxy,1.75,mg/L,96,hours,DMSO,28,celsius,aggression,aggression,total aggressive behaviours towards mirror,frequency of aggressive behaviour,NA,fig3a,gusso_2020_fig3a,NA,NA,NA,14,85.26107396,53.83044825,NA,NA,14.38679245,study reports mean and se,sample size provided as a range so selected the lowest value,NA,NA,NA,14,89.65087636,68.68725976,NA,NA,18.35744235,study reports mean and se,sample size provided as a range so selected the lowest value,,,,
,,KM,Pyriproxyfen Exposure Impairs Cognitive Parameters and Alters Cortisol Levels in Zebrafish,10.3389/fnbeh.2020.00103,https://www.frontiersin.org/articles/10.3389/fnbeh.2020.00103/full,Frontiers in Behavioral Neuroscience,gusso_2020,gusso_2020_exp_001,gusso_2020_exp2_004,gusso_2020_exp_001_assay_003,gusso_2020_exp2_004_assay2_001,zebrafish ,Danio rerio,not reported ,mixed,pyriproxyfen,not reported,95737- 68-1,in paper,phenoxy,0.125,mg/L,96,hours,none,28,celsius,social interaction,sociality,time spent in the area closest to the stimulus aquarium,time spent in social zone,NA,fig3b,gusso_2020_fig3b,NA,NA,NA,13,221.2292884,59.91739792,NA,NA,16.61809619,study reports mean and se,sample size provided as a range so selected the lowest value,NA,NA,NA,13,217.1531516,83.6582537,NA,NA,23.20262487,study reports mean and se,sample size provided as a range so selected the lowest value,,,,
,,KM,Pyriproxyfen Exposure Impairs Cognitive Parameters and Alters Cortisol Levels in Zebrafish,10.3389/fnbeh.2020.00103,https://www.frontiersin.org/articles/10.3389/fnbeh.2020.00103/full,Frontiers in Behavioral Neuroscience,gusso_2020,gusso_2020_exp_002,gusso_2020_exp2_005,gusso_2020_exp_002_assay_003,gusso_2020_exp2_005_assay2_001,zebrafish ,Danio rerio,not reported ,mixed,pyriproxyfen,not reported,95737- 68-1,in paper,phenoxy,0.675,mg/L,96,hours,none,28,celsius,social interaction,sociality,time spent in the area closest to the stimulus aquarium,time spent in social zone,NA,fig3b,gusso_2020_fig3b,NA,NA,NA,13,221.2292884,59.91739792,NA,NA,16.61809619,study reports mean and se,sample size provided as a range so selected the lowest value,NA,NA,NA,13,202.4163493,73.48360122,NA,NA,20.38068401,study reports mean and se,sample size provided as a range so selected the lowest value,,,,
,,KM,Pyriproxyfen Exposure Impairs Cognitive Parameters and Alters Cortisol Levels in Zebrafish,10.3389/fnbeh.2020.00103,https://www.frontiersin.org/articles/10.3389/fnbeh.2020.00103/full,Frontiers in Behavioral Neuroscience,gusso_2020,gusso_2020_exp_003,gusso_2020_exp2_006,gusso_2020_exp_003_assay_003,gusso_2020_exp2_006_assay2_001,zebrafish ,Danio rerio,not reported ,mixed,pyriproxyfen,not reported,95737- 68-1,in paper,phenoxy,1.75,mg/L,96,hours,none,28,celsius,social interaction,sociality,time spent in the area closest to the stimulus aquarium,time spent in social zone,NA,fig3b,gusso_2020_fig3b,NA,NA,NA,13,221.2292884,59.91739792,NA,NA,16.61809619,study reports mean and se,sample size provided as a range so selected the lowest value,NA,NA,NA,13,233.7712478,46.35119462,NA,NA,12.85550837,study reports mean and se,sample size provided as a range so selected the lowest value,,,,
,,KM,Pyriproxyfen Exposure Impairs Cognitive Parameters and Alters Cortisol Levels in Zebrafish,10.3389/fnbeh.2020.00103,https://www.frontiersin.org/articles/10.3389/fnbeh.2020.00103/full,Frontiers in Behavioral Neuroscience,gusso_2020,gusso_2020_exp_001,gusso_2020_exp2_004,gusso_2020_exp_001_assay_004,gusso_2020_exp2_004_assay2_002,zebrafish ,Danio rerio,not reported ,mixed,pyriproxyfen,not reported,95737- 68-1,in paper,phenoxy,0.125,mg/L,96,hours,DMSO,28,celsius,social interaction,sociality,time spent in the area closest to the stimulus aquarium,time spent in social zone,NA,fig3b,gusso_2020_fig3b,NA,NA,NA,13,221.2292884,59.91739792,NA,NA,16.61809619,study reports mean and se,sample size provided as a range so selected the lowest value,NA,NA,NA,13,217.1531516,83.6582537,NA,NA,23.20262487,study reports mean and se,sample size provided as a range so selected the lowest value,,,,
,,KM,Pyriproxyfen Exposure Impairs Cognitive Parameters and Alters Cortisol Levels in Zebrafish,10.3389/fnbeh.2020.00103,https://www.frontiersin.org/articles/10.3389/fnbeh.2020.00103/full,Frontiers in Behavioral Neuroscience,gusso_2020,gusso_2020_exp_002,gusso_2020_exp2_005,gusso_2020_exp_002_assay_004,gusso_2020_exp2_005_assay2_002,zebrafish ,Danio rerio,not reported ,mixed,pyriproxyfen,not reported,95737- 68-1,in paper,phenoxy,0.675,mg/L,96,hours,DMSO,28,celsius,social interaction,sociality,time spent in the area closest to the stimulus aquarium,time spent in social zone,NA,fig3b,gusso_2020_fig3b,NA,NA,NA,13,221.2292884,59.91739792,NA,NA,16.61809619,study reports mean and se,sample size provided as a range so selected the lowest value,NA,NA,NA,13,202.4163493,73.48360122,NA,NA,20.38068401,study reports mean and se,sample size provided as a range so selected the lowest value,,,,
,,KM,Pyriproxyfen Exposure Impairs Cognitive Parameters and Alters Cortisol Levels in Zebrafish,10.3389/fnbeh.2020.00103,https://www.frontiersin.org/articles/10.3389/fnbeh.2020.00103/full,Frontiers in Behavioral Neuroscience,gusso_2020,gusso_2020_exp_003,gusso_2020_exp2_006,gusso_2020_exp_003_assay_004,gusso_2020_exp2_006_assay2_002,zebrafish ,Danio rerio,not reported ,mixed,pyriproxyfen,not reported,95737- 68-1,in paper,phenoxy,1.75,mg/L,96,hours,DMSO,28,celsius,social interaction,sociality,time spent in the area closest to the stimulus aquarium,time spent in social zone,NA,fig3b,gusso_2020_fig3b,NA,NA,NA,13,221.2292884,59.91739792,NA,NA,16.61809619,study reports mean and se,sample size provided as a range so selected the lowest value,NA,NA,NA,13,233.7712478,46.35119462,NA,NA,12.85550837,study reports mean and se,sample size provided as a range so selected the lowest value,,,,
used species median of shoal ,,KM,Adult exposure to insecticides causes persistent behavioral and neurochemical alterations in zebrafish,10.1016/j.ntt.2019.106853,https://www.sciencedirect.com/science/article/pii/S0892036219301539?via%3Dihub,Neurotoxicology and Teratology,hawkey_2020,hawkey_2020_exp_001,hawkey_2020_exp2_001,hawkey_2020_exp_001_assay_001,hawkey_2020_exp2_001_assay2_001,zebrafish ,Danio rerio,labratory stock from wild population,mixed,DDT,not reported,50-29-3,https://commonchemistry.cas.org/detail?cas_rn=50-29-3&search=DDT,organochlorine ,10,nm,5,weeks,DMSO,28,celsius,shoaling,collective behaviour ,total distance moved,group movement,NA,fig3b,hawkey_2020_fig3b,18,12,36,36,2013.653702,535.6481481,309.2566025,535.6481482,89.27469136,study reports mean and se,exact sample size provided,17.5,11.66666667,35,35,1494.963635,687.3399572,89.27469136,116.1816578,116.1816578,study reports mean and se,exact sample size provided,,,,
used species median of shoal ,,KM,Adult exposure to insecticides causes persistent behavioral and neurochemical alterations in zebrafish,10.1016/j.ntt.2019.106853,https://www.sciencedirect.com/science/article/pii/S0892036219301539?via%3Dihub,Neurotoxicology and Teratology,hawkey_2020,hawkey_2020_exp_002,hawkey_2020_exp2_002,hawkey_2020_exp_002_assay_001,hawkey_2020_exp2_002_assay2_001,zebrafish ,Danio rerio,labratory stock from wild population,mixed,DDT,not reported,50-29-3,https://commonchemistry.cas.org/detail?cas_rn=50-29-3&search=DDT,organochlorine ,30,nm,5,weeks,DMSO,28,celsius,shoaling ,collective behaviour ,total distance moved,group movement,NA,fig3b,hawkey_2020_fig3b,18,12,36,36,2013.653702,535.6481481,309.2566025,535.6481482,89.27469136,study reports mean and se,exact sample size provided,17.5,11.66666667,35,35,1741.41326,571.8485849,89.27469136,96.66005291,96.66005291,study reports mean and se,exact sample size provided,,,,
used species median of shoal ,,KM,Adult exposure to insecticides causes persistent behavioral and neurochemical alterations in zebrafish,10.1016/j.ntt.2019.106853,https://www.sciencedirect.com/science/article/pii/S0892036219301539?via%3Dihub,Neurotoxicology and Teratology,hawkey_2020,hawkey_2020_exp_003,hawkey_2020_exp2_003,hawkey_2020_exp_003_assay_001,hawkey_2020_exp2_003_assay2_001,zebrafish ,Danio rerio,labratory stock from wild population,mixed,chlorpyrifos,not reported,2921-88-2,https://commonchemistry.cas.org/detail?cas_rn=2921-88-2&search=chlorpyrifos,organophosphate,0.3,um,2,weeks,DMSO,28,celsius,shoaling ,collective behaviour ,change in position ,group movement,NA,fig5b,hawkey_2020_fig5b,11,7.333333333,22,22,1.681254992,4.622693179,2.668913151,4.622693178,0.985561497,study reports mean and se,exact sample size provided,9,6,18,18,3.498849282,3.87528548,0.985561497,0.913413547,0.913413547,study reports mean and se,exact sample size provided,,,,
used species median of shoal ,,KM,Adult exposure to insecticides causes persistent behavioral and neurochemical alterations in zebrafish,10.1016/j.ntt.2019.106853,https://www.sciencedirect.com/science/article/pii/S0892036219301539?via%3Dihub,Neurotoxicology and Teratology,hawkey_2020,hawkey_2020_exp_004,hawkey_2020_exp2_004,hawkey_2020_exp_004_assay_001,hawkey_2020_exp2_004_assay2_001,zebrafish ,Danio rerio,labratory stock from wild population,mixed,chlorpyrifos,not reported,2921-88-2,https://commonchemistry.cas.org/detail?cas_rn=2921-88-2&search=chlorpyrifos,organophosphate,1,um,2,weeks,DMSO,28,celsius,shoaling ,collective behaviour ,change in position ,group movement,NA,fig5b,hawkey_2020_fig5b,11,7.333333333,22,22,1.681254992,4.622693179,2.668913151,4.622693178,0.985561497,study reports mean and se,exact sample size provided,11,7.333333333,22,22,5.187444432,4.514838699,0.985561497,0.962566845,0.962566845,study reports mean and se,exact sample size provided,,,,
used species median of shoal ,,KM,Adult exposure to insecticides causes persistent behavioral and neurochemical alterations in zebrafish,10.1016/j.ntt.2019.106853,https://www.sciencedirect.com/science/article/pii/S0892036219301539?via%3Dihub,Neurotoxicology and Teratology,hawkey_2020,hawkey_2020_exp_005,hawkey_2020_exp2_005,hawkey_2020_exp_005_assay_001,hawkey_2020_exp2_005_assay2_001,zebrafish ,Danio rerio,labratory stock from wild population,mixed,chlorpyrifos,not reported,2921-88-2,https://commonchemistry.cas.org/detail?cas_rn=2921-88-2&search=chlorpyrifos,organophosphate,3,um,2,weeks,DMSO,28,celsius,shoaling ,collective behaviour ,change in position ,group movement,NA,fig5b,hawkey_2020_fig5b,11,7.333333333,22,22,1.681254992,4.622693179,2.668913151,4.622693178,0.985561497,study reports mean and se,exact sample size provided,10,6.666666667,20,20,7.228009135,6.208974852,0.985561497,1.388368984,1.388368984,study reports mean and se,exact sample size provided,,,,
