comment_Kyle,comment_checker,initials_extractor,title,doi,url,journal,study_id,exp_id,exp2_id,assay_id,assay2_id,species_english,species_latin,source,sex,pesticide,pesticide_grade,cas_id,cas_id_comment,pesticide_chemical_class,dosage,dosage_unit,duration,duration_unit,control_solvent,temperature,temperature_unit,behaviour_measured,behaviour_measured_standardised,behaviour_assay,behavioural_assay_standardised,data_source,data_file,control_n,control_mean,control_sd,control_se,statistics_comment_control,sample_size_comment_control,treatment_n,treatment_mean,treatment_sd,treatment_se,statistics_comment_treatment,sample_size_comment_treatment,contact_author,contacted_date,contact_response,contact_comments
,,KM,Exposure to difenoconazole induces reproductive toxicity in zebrafish by interfering with gamete maturation and reproductive behavior,10.1016/j.scitotenv.2022.155610,https://www.sciencedirect.com/science/article/pii/S0048969722027061?via%3Dihub,Science of The Total Environment,chen_2022,chen_2022_exp_001,chen_2022_exp_001_assay_002,chen_2022_exp2_001,chen_2022_exp2_001_assay2_002,zebrafish,Danio rerio ,not reported ,mixed,difenoconazole ,analytical,119446-68-3,in paper,dioxolanes,0.1,ug/L,120,days,acetone,not reported,not reported,reproductive behaviour,courtship,contact time,time spent near opposite sex ,fig4b,chen_2022_fig4b,8,199.3015298,29.65655791,10.4851766,study reports mean and sd ,states four male and four female per tank (section 2.6. Analysis of reproductive behaviour),8,195.59446,41.45177981,14.6554173,study reports mean and sd ,states four male and four female per tank (section 2.6. Analysis of reproductive behaviour),,,,
,,KM,Exposure to difenoconazole induces reproductive toxicity in zebrafish by interfering with gamete maturation and reproductive behavior,10.1016/j.scitotenv.2022.155610,https://www.sciencedirect.com/science/article/pii/S0048969722027061?via%3Dihub,Science of The Total Environment,chen_2022,chen_2022_exp_002,chen_2022_exp_002_assay_002,chen_2022_exp2_002,chen_2022_exp2_002_assay2_002,zebrafish,Danio rerio ,not reported ,mixed,difenoconazole ,analytical,119446-68-3,in paper,dioxolanes,1,ug/L,120,days,acetone,not reported,not reported,reproductive behaviour,courtship,contact time,time spent near opposite sex ,fig4b,chen_2022_fig4b,8,199.3015298,29.65655791,10.4851766,study reports mean and sd ,states four male and four female per tank (section 2.6. Analysis of reproductive behaviour),8,194.2464347,23.25343745,8.221331654,study reports mean and sd ,states four male and four female per tank (section 2.6. Analysis of reproductive behaviour),,,,
,,KM,Exposure to difenoconazole induces reproductive toxicity in zebrafish by interfering with gamete maturation and reproductive behavior,10.1016/j.scitotenv.2022.155610,https://www.sciencedirect.com/science/article/pii/S0048969722027061?via%3Dihub,Science of The Total Environment,chen_2022,chen_2022_exp_003,chen_2022_exp_003_assay_002,chen_2022_exp2_003,chen_2022_exp2_003_assay2_002,zebrafish,Danio rerio ,not reported ,mixed,difenoconazole ,analytical,119446-68-3,in paper,dioxolanes,10,ug/L,120,days,acetone,not reported,not reported,reproductive behaviour,courtship,contact time,time spent near opposite sex ,fig4b,chen_2022_fig4b,8,199.3015298,29.65655791,10.4851766,study reports mean and sd ,states four male and four female per tank (section 2.6. Analysis of reproductive behaviour),8,222.5549672,34.37464667,12.15327288,study reports mean and sd ,states four male and four female per tank (section 2.6. Analysis of reproductive behaviour),,,,
,,KM,Exposure to difenoconazole induces reproductive toxicity in zebrafish by interfering with gamete maturation and reproductive behavior,10.1016/j.scitotenv.2022.155610,https://www.sciencedirect.com/science/article/pii/S0048969722027061?via%3Dihub,Science of The Total Environment,chen_2022,chen_2022_exp_001,chen_2022_exp_001_assay_003,chen_2022_exp2_001,chen_2022_exp2_001_assay2_003,zebrafish,Danio rerio ,not reported ,mixed,difenoconazole ,analytical,119446-68-3,in paper,dioxolanes,0.1,ug/L,120,days,acetone,not reported,not reported,reproductive behaviour,courtship,contact time,time spent near opposite sex ,fig4c,chen_2022_fig4c,8,145.9508599,5.324916895,1.882642423,study reports mean and sd ,states four male and four female per tank (section 2.6. Analysis of reproductive behaviour),8,122.1935383,25.80536649,9.123574818,study reports mean and sd ,states four male and four female per tank (section 2.6. Analysis of reproductive behaviour),,,,
,,KM,Exposure to difenoconazole induces reproductive toxicity in zebrafish by interfering with gamete maturation and reproductive behavior,10.1016/j.scitotenv.2022.155610,https://www.sciencedirect.com/science/article/pii/S0048969722027061?via%3Dihub,Science of The Total Environment,chen_2022,chen_2022_exp_002,chen_2022_exp_002_assay_003,chen_2022_exp2_002,chen_2022_exp2_002_assay2_003,zebrafish,Danio rerio ,not reported ,mixed,difenoconazole ,analytical,119446-68-3,in paper,dioxolanes,1,ug/L,120,days,acetone,not reported,not reported,reproductive behaviour,courtship,contact time,time spent near opposite sex ,fig4c,chen_2022_fig4c,8,145.9508599,5.324916895,1.882642423,study reports mean and sd ,states four male and four female per tank (section 2.6. Analysis of reproductive behaviour),8,137.5538755,11.67385627,4.127331465,study reports mean and sd ,states four male and four female per tank (section 2.6. Analysis of reproductive behaviour),,,,
,,KM,Exposure to difenoconazole induces reproductive toxicity in zebrafish by interfering with gamete maturation and reproductive behavior,10.1016/j.scitotenv.2022.155610,https://www.sciencedirect.com/science/article/pii/S0048969722027061?via%3Dihub,Science of The Total Environment,chen_2022,chen_2022_exp_003,chen_2022_exp_003_assay_003,chen_2022_exp2_003,chen_2022_exp2_003_assay2_003,zebrafish,Danio rerio ,not reported ,mixed,difenoconazole ,analytical,119446-68-3,in paper,dioxolanes,10,ug/L,120,days,acetone,not reported,not reported,reproductive behaviour,courtship,contact time,time spent near opposite sex ,fig4c,chen_2022_fig4c,8,145.9508599,5.324916895,1.882642423,study reports mean and sd ,states four male and four female per tank (section 2.6. Analysis of reproductive behaviour),8,108.0620281,4.710503407,1.665414451,study reports mean and sd ,states four male and four female per tank (section 2.6. Analysis of reproductive behaviour),,,,
,,KM,"neonicotinoid
tinoid Imidacloprid Affects the Social Behavior of Adult Zebrafish by Damaging Telencephalon Neurons through Oxidation Stress, Inflammation, and Apoptosis",10.3390/life13061418 ,"https://www.mdpi.com/2075-1729/13/6/1418#:~:text=Our%20behavioral%20and%20histological%20experiments,zebrafish%20through%20oxidative%20stress%2C%20inflammation",Life,chung_2023,chung_2023_exp_001,chung_2023_exp2_001,chung_2023_exp_001_assay_001,chung_2023_exp2_001_assay2_001,zebrafish,Danio rerio,laboratory stock from not specified source,mixed,imidacloprid,analytical,138261-41-3,in paper,neonicotinoid,0.1,ppm,5,days,none,25,celsius,heterosexual attraction,courtship,distance between male and female,distance between individuals,fig5c,chung_2023_fig5c,10,4.437140986,1.861305535,0.588596491,study reports mean and se,exact sample size provided,10,10.26143516,4.726772924,1.494736842,study reports mean and se,exact sample size provided,,,,
,,KM,"neonicotinoid
tinoid Imidacloprid Affects the Social Behavior of Adult Zebrafish by Damaging Telencephalon Neurons through Oxidation Stress, Inflammation, and Apoptosis",10.3390/life13061418 ,"https://www.mdpi.com/2075-1729/13/6/1418#:~:text=Our%20behavioral%20and%20histological%20experiments,zebrafish%20through%20oxidative%20stress%2C%20inflammation",Life,chung_2023,chung_2023_exp_002,chung_2023_exp2_002,chung_2023_exp_002_assay_001,chung_2023_exp2_002_assay2_001,zebrafish,Danio rerio,laboratory stock from not specified source,mixed,imidacloprid,analytical,138261-41-3,in paper,neonicotinoid,0.5,ppm,5,days,none,25,celsius,heterosexual attraction,courtship,distance between male and female,distance between individuals,fig5c,chung_2023_fig5c,10,4.437140986,1.861305535,0.588596491,study reports mean and se,exact sample size provided,10,11.4526297,4.969144863,1.571381579,study reports mean and se,exact sample size provided,,,,
,,KM,"neonicotinoid
tinoid Imidacloprid Affects the Social Behavior of Adult Zebrafish by Damaging Telencephalon Neurons through Oxidation Stress, Inflammation, and Apoptosis",10.3390/life13061418 ,"https://www.mdpi.com/2075-1729/13/6/1418#:~:text=Our%20behavioral%20and%20histological%20experiments,zebrafish%20through%20oxidative%20stress%2C%20inflammation",Life,chung_2023,chung_2023_exp_003,chung_2023_exp2_003,chung_2023_exp_003_assay_001,chung_2023_exp2_003_assay2_001,zebrafish,Danio rerio,laboratory stock from not specified source,mixed,imidacloprid,analytical,138261-41-3,in paper,neonicotinoid,1,ppm,5,days,none,25,celsius,heterosexual attraction,courtship,distance between male and female,distance between individuals,fig5c,chung_2023_fig5c,10,4.437140986,1.861305535,0.588596491,study reports mean and se,exact sample size provided,10,14.63122528,4.921294609,1.55625,study reports mean and se,exact sample size provided,,,,
,,KM,"neonicotinoid
tinoid Imidacloprid Affects the Social Behavior of Adult Zebrafish by Damaging Telencephalon Neurons through Oxidation Stress, Inflammation, and Apoptosis",10.3390/life13061418 ,"https://www.mdpi.com/2075-1729/13/6/1418#:~:text=Our%20behavioral%20and%20histological%20experiments,zebrafish%20through%20oxidative%20stress%2C%20inflammation",Life,chung_2023,chung_2023_exp_001,chung_2023_exp2_004,chung_2023_exp_001_assay_002,chung_2023_exp2_004_assay2_001,zebrafish,Danio rerio,laboratory stock from not specified source,male ,imidacloprid,analytical,138261-41-3,in paper,neonicotinoid,0.1,ppm,5,days,none,25,celsius,defensive alert behaviour,aggression,male confrontation distance,distance between individuals,fig6c,chung_2023_fig6c,10,16.59920513,4.969572384,1.571516773,study reports mean and se,exact sample size provided,10,13.46501111,4.915229889,1.554332167,study reports mean and se,exact sample size provided,,,,
